Id,ComponentName,Domain,Operating System,Language,Functionality,preCondition,postCondition
1099,CityNameDropdown,Hotel Booking,Linux,React,city name dropdown,isLoggedIn,cityName:String
1100,CityNameWithState,Hotel Booking,Linux,React,city name dropdown with state,x,x
1101,ClassTypeAndQuota,Railway Booking,Linux,React,class type dropdown and quota type dropdown,x,x
1102,ClassTypeAndQuota,Bus Booking,Linux,React,class type dropdown and quota type dropdown,x,x
1103,DateOfJourney,Bus Booking,Linux,React,date of journey input,x,x
1104,DateOfJourney,Railway Booking,Linux,React,date of journey input,x,x
1105,DisplayAgeOutput,Educational,Linux,React,Display the age ,age,x
1106,FlightBookingConfirmed,Flight Booking,Linux,React,"Flight booking confirmed page with details like airline name , date of journey, from city , to city ",x,x
1107,FlightClassType,Flight Booking,Linux,React,select flight class type from dropdown,x,x
1108,FlightDisplayUI,Flight Booking,Linux,React,"display the searched list of flights and select a flight with details like airline code, airline name, departure, arrival , number of stops , duration and price",x,x
1109,FromCityToCity,Bus Booking,Linux,React,From city dropdown and to city dropdown select,x,x
1110,FromCityToCity,Railway Booking,Linux,React,From city dropdown and to city dropdown select,x,x
1111,FromCityToCityDOJ,Flight Booking,Linux,React,From city dropdown and to city dropdown and date of journey select,x,x
1112,FromDateToDate,Hotel Booking,Linux,React,from date and to date input,x,x
1113,GetFlights,Flight Booking,Linux,React,"get flights button to search for flights using from city name , to city name and date of journey",x,x
1114,GetTrains,Railway Booking,Linux,React,"get train button to search for trains using from city name , to city name ,date of journey and class type",x,x
1115,GSTCalculator,x,Linux,React,gst calculate on amount or fare,amount,amount
1116,HotelListUI,Hotel Booking,Linux,React,list of hotels with hotel select from list,x,x
1117,HotelRentCalculator,Hotel Booking,Linux,React,"calculate rent of hotel room using number of days ,room type , number of guests and room rent per night",x,x
1118,HotelSearch,Hotel Booking,Linux,React,search for hotels using city and state name,x,x
1119,LoginCaptchaScreen,x,Linux,React,"Login using username, password and captcha",x,loggedIn
1120,LoginCheck,x,Linux,React,check username and password validity,"username,password",isLoggedIn
1121,LoginErrorPage,x,Linux,React,login failed error page,x,x
1122,LoginScreen,x,Linux,React,Login using username and password,x,loggedIn
1123,LoginScreen1,x,Linux,React,"login using username ,password and register option",x,"userRegistered,loggedIn"
1124,Logout,x,Linux,React,logout button,paymentStatus,loggedIn
1125,NumberOfItems,Ecommerce,Linux,React,number of items dropdown,selectedProduct,numberOfItems
1126,PassengerDetails,Railway Booking,Linux,React,"add details of passenger with input of name , age , gender  , phone number ",x,x
1127,PassengerDetails,Bus Booking,Linux,React,"add details of passenger with input of name , age , gender  , phone number ",x,x
1128,PaymentFailed,x,Linux,React,payment failed page for the given amount,x,x
1129,PaymentPageUI,x,Linux,React,"payment page with options like credit card, debit card and cash",x,x
1130,PaymentPageUI1,x,Linux,React,"payment page with options like credit card, debit card, netbanking, upi and cash",amount,paymentStatus
1131,ProductCategory,Ecommerce,Linux,React,product category dropdown,loggedIn,productCategorySelected
1132,ProductFareCalculator,Ecommerce,Linux,React,"product fare calculate using product price, number of items and discount percentage","amount,numberOfItems",amount
1133,ProductList,Ecommerce,Linux,React,display list of product search results with select a product,"loggedIn,productSeachedList","amount,selectedProduct"
1134,ProfilePage,Ecommerce,Linux,React,"profile page with details like name,username,email,address and phone number",x,x
1135,Register,x,Linux,React,"registration page with details like email , password and confirm password",x,userRegistered
1136,Register1,x,Linux,React,"registration page with details like name,email,username,password and confirm password",x,userRegistered
1137,Register2,x,Linux,React,"registration page with details like name, username,email,address,phone number,password and confirm password",x,x
1138,RoomSelector,Hotel Booking,Linux,React,room type and number of guests dropdown ,x,x
1139,SearchBook,Library Management,Linux,React,search box for entering book name,x,x
1140,SearchProduct,Ecommerce,Linux,React,searching products using product name and product category,"loggedIn,productSearchTerm,productCategorySelected",productSearchedList
1141,SearchProductUI,Ecommerce,Linux,React,search box for entering product name to search,loggedIn,productSearchTerm
1142,ThankYouPage,Ecommerce,Linux,React,thank you page for the username,x,x
1143,TrainBookingConfirmed,Railway Booking,Linux,React,"Train booking confirmed page with details like passenger name , date of journey, train name,travel duration and fare",x,x
1144,TrainDisplayUI,Railway Booking,Linux,React,"display list of trains with details like train number, train name, duration and fare and select train ",x,x
1145,BusBookingConfirmed,Bus Booking,Linux,React,"Train booking confirmed page with details like passenger name , date of journey, train name,travel duration and fare",x,x
1146,BusDisplayUI,Bus Booking,Linux,React,"display list of trains with details like train number, train name, duration and fare and select train ",x,x
1147,VerificationEmailPage,Ecommerce,Linux,React,verification email sent page,x,x
1148,VideoList,Online Video,Linux,React,"youtube video display with video title, views and channel name with watch button",loggedIn,videoId
1149,YoutubeVideoPlay,Online Video,Linux,React,youtube video player with video id ,videoId,x
1150,AddBookUI,Library Management,MacOS,React,"add book ui using author name, book name and year",x,x
1151,AddBookUI,Supply Chain,MacOS,React,"add book ui using author name, book name and year",addBook,bookAddedSuccessful:Boolean
1152,AuthorAndGenre,Library Management,MacOS,React,author name dropdown and genre dropdown,x,x
1153,AuthorAndGenre,Supply Chain,MacOS,React,author name dropdown and genre dropdown,x,x
1154,BerthAvailabilty,Railway Booking,MacOS,React,"check for available berths using the values like train number ,DOJ, from and to city",x,x
1155,BookAddedSuccessfullyDialog,Library Management,MacOS,React,book added sucessfully dialog,bookAddedSuccessful,x
1156,BookAddedSuccessfullyDialog,Supply Chain,MacOS,React,book added sucessfully dialog,bookAddedSuccessful,x
1157,BookingConfirmation,Hotel Booking,MacOS,React,confirmation page display,x,x
1158,BookList,Library Management,MacOS,React,"list of books  search and display with book name, book price and author name","searchString,authorName,genre",bookRentCost:Double
1159,BookList,Supply Chain,MacOS,React,"list of books  search and display with book name, book price and author name","searchString,authorName,genre",bookRentCost:Double
1160,CalculateAgeScreen,Educational,MacOS,React,Calculate age using date picker and date of birth,loggedIn,age
1161,CityNameDropdown,Hotel Booking,MacOS,React,city name dropdown,isLoggedIn,cityName:String
1162,CityNameWithState,Hotel Booking,MacOS,React,city name dropdown with state,x,x
1163,ClassTypeAndQuota,Railway Booking,MacOS,React,class type dropdown and quota type dropdown,x,x
1164,ClassTypeAndQuota,Bus Booking,MacOS,React,class type dropdown and quota type dropdown,x,x
1165,DateOfJourney,Bus Booking,MacOS,React,date of journey input,x,x
1166,DateOfJourney,Railway Booking,MacOS,React,date of journey input,x,x
1167,DisplayAgeOutput,Educational,MacOS,React,Display the age ,age,x
1168,FlightBookingConfirmed,Flight Booking,MacOS,React,"Flight booking confirmed page with details like airline name , date of journey, from city , to city ",x,x
1169,FlightClassType,Flight Booking,MacOS,React,select flight class type from dropdown,x,x
1170,FlightDisplayUI,Flight Booking,MacOS,React,"display the searched list of flights and select a flight with details like airline code, airline name, departure, arrival , number of stops , duration and price",x,x
1171,FromCityToCity,Bus Booking,MacOS,React,From city dropdown and to city dropdown select,x,x
1172,FromCityToCity,Railway Booking,MacOS,React,From city dropdown and to city dropdown select,x,x
1173,FromCityToCityDOJ,Flight Booking,MacOS,React,From city dropdown and to city dropdown and date of journey select,x,x
1174,FromDateToDate,Hotel Booking,MacOS,React,from date and to date input,x,x
1175,GetFlights,Flight Booking,MacOS,React,"get flights button to search for flights using from city name , to city name and date of journey",x,x
1176,GetTrains,Railway Booking,MacOS,React,"get train button to search for trains using from city name , to city name ,date of journey and class type",x,x
1177,GSTCalculator,x,MacOS,React,gst calculate on amount or fare,amount,amount
1178,HotelListUI,Hotel Booking,MacOS,React,list of hotels with hotel select from list,x,x
1179,HotelRentCalculator,Hotel Booking,MacOS,React,"calculate rent of hotel room using number of days ,room type , number of guests and room rent per night",x,x
1180,HotelSearch,Hotel Booking,MacOS,React,search for hotels using city and state name,x,x
1181,LoginCaptchaScreen,x,MacOS,React,"Login using username, password and captcha",x,loggedIn
1182,LoginCheck,x,MacOS,React,check username and password validity,"username,password",isLoggedIn
1183,LoginErrorPage,x,MacOS,React,login failed error page,x,x
1184,LoginScreen,x,MacOS,React,Login using username and password,x,loggedIn
1185,LoginScreen1,x,MacOS,React,"login using username ,password and register option",x,"userRegistered,loggedIn"
1186,Logout,x,MacOS,React,logout button,paymentStatus,loggedIn
1187,NumberOfItems,Ecommerce,MacOS,React,number of items dropdown,selectedProduct,numberOfItems
1188,PassengerDetails,Railway Booking,MacOS,React,"add details of passenger with input of name , age , gender  , phone number ",x,x
1189,PassengerDetails,Bus Booking,MacOS,React,"add details of passenger with input of name , age , gender  , phone number ",x,x
1190,PaymentFailed,x,MacOS,React,payment failed page for the given amount,x,x
1191,PaymentPageUI,x,MacOS,React,"payment page with options like credit card, debit card and cash",x,x
1192,PaymentPageUI1,x,MacOS,React,"payment page with options like credit card, debit card, netbanking, upi and cash",amount,paymentStatus
1193,ProductCategory,Ecommerce,MacOS,React,product category dropdown,loggedIn,productCategorySelected
1194,ProductFareCalculator,Ecommerce,MacOS,React,"product fare calculate using product price, number of items and discount percentage","amount,numberOfItems",amount
1195,ProductList,Ecommerce,MacOS,React,display list of product search results with select a product,"loggedIn,productSeachedList","amount,selectedProduct"
1196,ProfilePage,Ecommerce,MacOS,React,"profile page with details like name,username,email,address and phone number",x,x
1197,Register,x,MacOS,React,"registration page with details like email , password and confirm password",x,userRegistered
1198,Register1,x,MacOS,React,"registration page with details like name,email,username,password and confirm password",x,userRegistered
1199,Register2,x,MacOS,React,"registration page with details like name, username,email,address,phone number,password and confirm password",x,x
